,ID,Pseudodiptomus.Adult,Psedodiptomus.copepidite,Acanthocyclops.adult,Acanthocyclops.copepididte,Cyclopoid.sp.,Cyclopoid.nauplii,Calanoid.naulpii,Harpaticoid,Daphnia.pulex,Daphnia.laevis,Daphnia.magna,Daphnia.mendotea,Ceriodaphnia.sp.,Simocephalus.sp.,Bosmina.sp.,Sididae,Chydorus.sphaericus,Eurycercus,Alona,Chydoridae,Diaphanosoma,Scapholeberis,Cladocera.embryo,Eucypris,Ilyocypris,Cypridopsis,Gammarus,Rotifer,Polychaete,Acari,Chironomid.larvae,Oliogochaete,Gastropod,Tardigrade,Nematode,Hyalella,Hydra,Terrestrial.insect,Collembola,Baetidae,Diptera,Hydroptilidae,Coleoptera,Ephemerellidae,Odonata,Bivalve,Trichoptera,Corixidae,Fish.larvae,Ilyocryptus,Streblocerus,Moina,DATE,LOCATION,TIME,TEMP..C.,EC...s.cm.,SPC...s.cm.,TDS..mg.L.,SALINITY..PSU.,DO....sat.,DO..mg.L.,pH,TURBIDITY..NTU.,CHL...g.L.,BGA...g.L.,Start.Rotation,End.Rotation,ZOOP.SCORE..1.10.,Notes,VolumeSampled
21,ACCSAC1_1/4/2022_8:10,13.11734039,131.1734039,26.23468078,1141.208613,0,52.46936155,13.11734039,26.23468078,144.2907443,0,0,0,91.82138274,39.35202117,1206.795316,0,52.46936155,0,13.11734039,0,0,0,0,0,0,0,0,157.4080847,0,26.23468078,52.46936155,104.9387231,0,26.23468078,13.11734039,0,13.11734039,0,0,13.11734039,0,0,0,0,0,0,0,0,0,0,0,0,1/4/2022,ACCSAC1,8:10,8.272,94.8,139.5,90.666,0.07,98,11.54,7.68,13.66,1.39,0.08,75173,75775,1,,1.143524486
22,ACCSAC1_11/16/2021_12:00,0,4.089192143,0,190.1474347,2.044596072,36.80272929,0,6.133788215,6.133788215,0,0,0,96.09601537,0,51.11490179,0,92.00682323,2.044596072,12.26757643,0,0,0,0,0,0,0,2.044596072,47.02570965,10.22298036,0,6.133788215,6.133788215,0,8.178384287,0,0,0,2.044596072,0,0,0,0,0,2.044596072,0,0,0,0,0,0,0,0,11/16/2021,ACCSAC1,12:00,14.041,125.8,160,103.591,0.08,93.2,9.57,2.76,4.05,0.58,0.09,572820,573291,1,,0.89468444
23,ACCSAC1_11/23/2021_7:50,0,7.933131357,9.9164142,184.4453041,0,9.9164142,13.88297987,1.983282839,0,0,0,0,13.88297987,5.949848518,1.983282839,0,35.69909111,0,5.949848518,0,0,0,0,0,0,1.983282839,0,57.51520234,3.966565679,7.933131357,1.983282839,0,0,3.966565679,5.949848518,0,3.966565679,3.966565679,0,0,0,0,0,0,1.983282839,0,0,0,0,0,0,0,11/23/2021,ACCSAC1,7:50,11.762,121.7,162.9,105.947,0.08,94.7,10.25,7.85,3.8,0.32,0.1,578050,578603,1,,1.050446912
24,ACCSAC1_11/30/2021_8:50,0,1.552928014,17.08220816,27165.53041,0,6.211712057,4.658784043,10.8704961,6.211712057,0,0,0,7.764640072,6.211712057,6.211712057,1.552928014,13.97635213,0,32.6114883,0,0,3.105856029,0,0,0,0,0,79.19932873,0,1.552928014,3.105856029,1.552928014,0,7.764640072,0,0,1.552928014,0,0,0,0,0,0,0,0,0,0,1.552928014,0,0,6.211712057,0,11/30/2021,ACCSAC1,8:50,11.607,120.8,162.3,105.525,0.08,96.4,10.47,7.88,9.61,0.41,-0.13,10866,11205,1,,0.643944852
25,ACCSAC1_11/9/2021_11:50,0,1.827925684,7.311702734,171.8250143,0,23.76303389,0,3.655851367,18.27925684,0,0,0,116.9872437,0,3.655851367,0,3.655851367,3.655851367,10.9675541,0,0,0,0,0,0,0,0,40.21436504,5.483777051,7.311702734,7.311702734,12.79547978,0,3.655851367,0,0,0,3.655851367,0,1.827925684,0,0,0,0,0,0,0,0,0,0,0,0,11/9/2021,ACCSAC1,11:50,13.315,116.8,150.4,97.752,0.07,95.5,9.98,7.8,7.07,0.58,-0.17,551096,551672,1,,1.094136385
26,ACCSAC1_12/13/2021_7:35,0,1.714796732,1.714796732,258.9343066,0,9.431382028,10.28878039,0,3.429593465,0,0,0,11.14617876,4.286991831,8.573983662,0,24.00715425,0,11.14617876,0,0,0,0,2.572195099,0,0.857398366,0,71.1640644,0,0,6.001788564,0.857398366,0,12.00357713,0,0,0.857398366,0,0.857398366,0.857398366,0,0,0,0.857398366,1.714796732,0,0,0,0,1.714796732,0,0,12/13/2021,ACCSAC1,7:35,9.256,204,291.8,84.693,0.14,86.5,9.94,7.77,6.85,3.01,0.34,616368,616982,1,,1.166318994
27,ACCSAC1_12/21/2021_9:00,0,0,47.00380329,916.5741642,0,23.50190165,94.00760658,23.50190165,282.0228197,0,0,0,211.5171148,47.00380329,2326.688263,0,235.0190165,23.50190165,141.0114099,0,0,0,0,0,0,0,0,1081.087476,0,0,0,47.00380329,0,23.50190165,0,0,0,0,23.50190165,0,0,0,0,0,0,0,0,0,0,23.50190165,0,0,12/21/2021,ACCSAC1,9:00,7.378,109.8,165.7,107.67,0.08,91.7,11.01,7.66,21.46,2.61,0.17,26831,27391,1,,1.063743708
28,ACCSAC1_12/27/2021_8:40,0,163.6366864,35.06500423,1893.510229,0,11.68833474,70.13000846,0,105.1950127,0,0,0,70.13000846,35.06500423,771.4300931,0,11.68833474,0,35.06500423,0,0,0,0,23.37666949,0,0,11.68833474,70.13000846,0,0,46.75333898,0,0,23.37666949,0,0,0,0,0,0,0,0,0,0,0,0,0,11.68833474,0,0,23.37666949,0,12/27/2021,ACCSAC1,8:40,8.552,71.4,104.1,67.661,0.05,97.2,11.35,7.66,23.61,2.25,0.14,37891,38454,1,,1.069442335
30,ACCSAC1_2/1/2022_7:40,0,0,157.2140861,2290.833826,0,22.45915516,673.7746547,22.45915516,22.45915516,0,0,0,0,22.45915516,314.4281722,0,179.6732413,22.45915516,44.91831031,22.45915516,0,0,22.45915516,22.45915516,0,0,0,5165.605686,44.91831031,22.45915516,22.45915516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/2022,ACCSAC1,7:40,9.029,80.6,116.8,75.873,0.05,99.4,11.48,7.75,5.75,4.56,0.44,645315,645901,1,,1.113131809
31,ACCSAC1_2/16/2022_7:30,0,10.04661444,50.23307222,622.8900955,0,30.13984333,50.23307222,0,20.09322889,0,0,0,0,0,401.8645778,0,200.9322889,0,30.13984333,10.04661444,0,0,10.04661444,20.09322889,0,0,0,1105.127589,70.32630111,10.04661444,0,0,0,60.27968666,30.13984333,0,50.23307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/16/2022,ACCSAC1,7:30,10.609,85.4,117.5,76.343,0.06,98.4,10.89,7.81,4.32,2.14,0.31,692824,693348,1,,0.995360184
32,ACCSAC1_2/23/2022_7:40,0.906097413,2.718292239,9.060974128,183.9377748,0,2.718292239,12.68536378,0,2.718292239,0,0,0,7.248779303,5.436584477,64.33291631,0,18.12194826,1.812194826,39.86828617,0,0.906097413,0,0,2.718292239,0,0,0,135.0085145,0,0.906097413,4.530487064,6.34268189,0,10.87316895,3.624389651,0,2.718292239,0,0,0,0,0,0,0,0,0,0,0.906097413,0,0,0,0,2/23/2022,ACCSAC1,7:40,10.047,82.7,115.7,75.185,0.05,98.7,11.11,7.83,5.58,2.27,0.4,723206,723787,1,,1.103634097
33,ACCSAC1_2/9/2022_9:00,0,19.01887994,57.05663983,2586.567672,0,0,171.1699195,19.01887994,0,0,0,0,0,0,1255.246076,19.01887994,190.1887994,0,133.1321596,0,0,0,0,19.01887994,0,0,0,4906.871026,57.05663983,0,38.03775989,0,0,0,57.05663983,0,19.01887994,38.03775989,0,0,0,0,0,0,133.1321596,0,0,0,0,19.01887994,0,0,2/9/2022,ACCSAC1,9:00,10.242,79.2,110.3,71.67,0.05,100.7,11.3,7.63,4.31,1.35,-0.26,127804,128150,1,,0.657241648
34,ACCSAC1_3/16/2022_7:30,0,24.98936378,24.98936378,258.2234257,0,16.65957585,33.3191517,24.98936378,0,0,0,0,16.65957585,16.65957585,283.2127895,0,341.5213049,8.329787925,208.2446981,0,0,0,0,58.30851548,0,0,0,108.287243,0,0,33.3191517,8.329787925,0,849.6383684,0,0,33.3191517,0,0,0,0,0,0,0,16.65957585,0,0,0,8.329787925,24.98936378,0,0,3/16/2022,ACCSAC1,7:30,13.6,95.7,122.4,79.481,0.06,96.4,10.01,7.65,3.57,16.65,2.28,818212,818844,1,,1.200510756
35,ACCSAC1_3/2/2022_7:20,0,10.54995184,12.65994221,185.6791524,0,0,0,0,0,0,0,0,2.109990368,8.439961473,202.5590753,0,162.4692584,4.219980736,59.07973031,0,4.219980736,0,0,6.329971105,0,0,0,8.439961473,0,0,29.53986515,2.109990368,0,37.97982663,0,0,23.20989405,0,0,0,0,0,0,0,2.109990368,0,0,0,0,0,0,0,3/2/2022,ACCSAC1,7:20,12.086,84.3,111.9,72.732,0.05,101,10.86,7.64,4.66,4.4,-0.21,752901,753400,1,,0.947871625
36,ACCSAC1_3/23/2022_7:30,0,9.557781351,7.168336014,23.89445338,0,2.389445338,9.557781351,9.557781351,2.389445338,0,0,0,2.389445338,2.389445338,78.85169616,0,105.1355949,9.557781351,52.56779743,7.168336014,0,0,14.33667203,4.778890676,0,2.389445338,0,219.8289711,26.28389872,26.28389872,14.33667203,0,0,78.85169616,38.2311254,0,28.67334405,0,0,0,0,2.389445338,0,7.168336014,0,0,0,0,0,11.94722669,0,0,3/23/2022,ACCSAC1,7:30,15.831,101.3,122.8,79.778,0.06,97.4,9.64,7.71,3.45,0.42,-0.43,851269,851881,1,,1.162519909
37,ACCSAC1_3/30/2022_7:20,0,0,17.78522287,96.54835271,0,0,7.622238372,5.081492248,0,0,0,0,2.540746124,5.081492248,241.3708818,0,124.4965601,22.86671511,109.2520833,0,2.540746124,0,0,2.540746124,0,0,7.622238372,25.40746124,0,10.1629845,20.32596899,0,0,111.7928294,0,0,10.1629845,0,5.081492248,0,0,0,0,20.32596899,2.540746124,0,0,0,0,2.540746124,0,0,3/30/2022,ACCSAC1,7:20,15.561,92.1,112.3,73.004,0.05,98.3,9.79,7.66,2.65,0.21,-0.46,884314,884832,1,,0.98396293
38,ACCSAC1_3/9/2022_7:30,0,6.908695497,34.54347749,352.3434703,0,13.817391,6.908695497,0,6.908695497,0,0,0,0,6.908695497,739.2304182,0,179.6260829,0,138.17391,0,0,0,0,0,0,0,0,165.8086919,0,6.908695497,13.817391,0,0,227.9869514,0,0,20.72608649,6.908695497,0,0,0,0,0,0,6.908695497,0,0,0,0,6.908695497,0,0,3/9/2022,ACCSAC1,7:30,11.594,83.5,112.2,72.837,0.05,99.5,10.81,7.76,3.6,3.25,-0.18,785984,786619,1,,1.206209383
39,ACCSAC1_4/11/2022_7:00,0,0,0,37.435918,0,0,0,0,0,0,0,0,0.779914958,0.779914958,9.3589795,0,19.49787396,5.459404708,21.83761883,0,0,0,0,0.779914958,0,0.779914958,0,7.019234625,0,9.3589795,14.03846925,0.779914958,0,10.13889446,0,0,1.559829917,0,1.559829917,1.559829917,0,1.559829917,0,0,0.779914958,0,0,0,0,3.899574792,0,0,4/11/2022,ACCSAC1,7:00,15.485,104.1,127.2,82.724,0.06,95.8,9.56,7.95,4.27,0.52,-0.44,906222,906897,1,,1.282191077
40,ACCSAC1_4/18/2022_7:00,0,17.56369874,0,644.0022871,0,0,17.56369874,5.854566246,99.52762619,0,0,0,0,0,87.81849369,0,46.83652997,0,70.25479496,0,0,0,0,0,0,0,0,122.9458912,0,11.70913249,70.25479496,11.70913249,0,29.27283123,0,0,11.70913249,0,0,0,0,0,0,0,5.854566246,0,0,0,0,5.854566246,0,0,4/18/2022,ACCSAC1,7:00,14.978,104.6,129.4,84.08,0.06,96.7,9.74,7.66,2.86,0.39,-0.39,918141,918703,1,,1.067542793
41,ACCSAC1_4/25/2022_7:00,0,4.352204009,4.352204009,169.7359564,0,2.176102004,17.40881603,0,6.528306012,0,0,0,10.88051002,2.176102004,76.16357015,0,56.57865211,28.28932605,206.7296904,0,2.176102004,0,0,4.352204009,0,0,0,78.33967215,0,0,76.16357015,10.88051002,0,60.93085612,0,0,2.176102004,2.176102004,0,2.176102004,0,0,0,0,13.05661203,0,0,0,0,6.528306012,0,0,4/25/2022,ACCSAC1,7:00,17.057,102.4,120.7,78.495,0.06,99.2,9.56,7.79,6.31,0.63,-0.51,928318,928990,1,,1.27649245
42,ACCSAC2_1/25/2022_7:50,0,0,37.46033659,1136.296877,0,12.48677886,149.8413464,0,12.48677886,0,0,0,12.48677886,0,973.9687513,0,199.7884618,0,0,0,0,0,0,0,0,0,0,636.825722,0,12.48677886,0,0,0,0,12.48677886,0,24.97355773,0,0,0,0,0,0,0,12.48677886,0,0,0,0,12.48677886,0,0,1/25/2022,ACCSAC2,7:50,8.794,129.9,185.9,120.501,0.09,100.3,11.5,7.57,4.11,0.76,-0.17,114446,114973,1,,1.001058811
43,ACCSAC2_1/4/2022_8:00,17.3171908,277.0750527,34.63438159,1714.401889,0,34.63438159,138.5375263,0,363.6610067,0,0,0,155.8547172,51.95157238,969.7626849,0,103.9031448,0,34.63438159,0,0,0,0,0,0,0,0,450.2469606,0,0,0,34.63438159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/4/2022,ACCSAC2,8:00,7.857,140.3,208.8,135.736,0.1,91.4,10.86,7.54,22.69,2.34,0.19,74604,75174,2,,1.082739131
45,ACCSAC2_11/23/2021_7:30,0,10.57963418,18.51435982,269.7806716,0,26.44908545,23.80417691,0,2.644908545,0,0,0,66.12271363,44.96344527,31.73890254,2.644908545,235.3968605,5.289817091,37.02871963,7.934725636,0,2.644908545,0,10.57963418,0,0,0,52.89817091,15.86945127,7.934725636,0,0,0,5.289817091,0,0,5.289817091,2.644908545,0,5.289817091,0,0,0,0,5.289817091,0,2.644908545,0,0,2.644908545,0,0,11/23/2021,ACCSAC2,7:30,11.753,144.3,193.2,125.429,0.09,92,9.96,7.78,4.26,0.55,0.14,577427,578049,1,,1.181515333
46,ACCSAC2_11/30/2021_8:40,0,0,16.73016727,524.2119079,0,39.03705697,22.3068897,16.73016727,11.15344485,0,0,0,55.76722424,0,27.88361212,0,117.1111709,0,61.34394667,0,0,0,0,0,0,0,0,161.7249503,0,0,5.576722424,5.576722424,0,0,5.576722424,0,5.576722424,0,0,0,0,0,0,0,0,0,0,0,0,5.576722424,0,0,11/30/2021,ACCSAC2,8:40,11.586,137.8,185.2,120.362,0.09,94.3,10.25,7.81,11.16,0.73,-0.14,10398,10870,1,,0.896583982
47,ACCSAC2_11/9/2021_12:15,0,6.545079953,0,340.3441575,0,3.272539976,45.81555967,6.545079953,3.272539976,0,0,0,117.8114391,0,29.45285979,0,75.26841946,3.272539976,29.45285979,0,0,0,0,0,0,0,0,98.17619931,6.545079953,6.545079953,6.545079953,13.0901599,0,6.545079953,3.272539976,0,3.272539976,0,0,0,0,0,0,0,0,0,0,0,0,3.272539976,0,0,11/9/2021,ACCSAC2,12:15,13.209,140.4,180.9,117.5,0.09,95.5,9.94,7.66,6.09,1.02,-0.05,552241,552876,1,,1.206209383
48,ACCSAC2_12/13/2021_7:25,0,4.820902902,4.820902902,443.523067,0,33.74632031,4.820902902,0,4.820902902,0,0,0,62.67173772,9.641805803,14.46270871,0,57.85083482,0,9.641805803,0,0,0,0,0,0,0,0,197.657019,4.820902902,0,4.820902902,9.641805803,0,28.92541741,0,0,0,0,4.820902902,0,0,0,0,0,0,0,0,0,0,0,0,0,12/13/2021,ACCSAC2,7:25,9.664,119.8,169.4,110.14,0.08,95.2,10.82,7.98,5.69,0.92,0.28,615320,615866,1,,1.037150115
49,ACCSAC2_12/21/2021_8:50,0,14.33667203,43.01001608,630.8135692,0,71.68336014,28.67334405,0,286.7334405,0,14.33667203,0,387.0901448,0,1806.420676,14.33667203,129.0300483,0,86.02003217,0,14.33667203,14.33667203,43.01001608,0,0,0,0,1103.923746,0,0,0,0,0,14.33667203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/21/2021,ACCSAC2,8:50,7.01,127.8,194.8,126.766,0.09,86.7,10.47,7.51,23.97,3.49,0.25,26219,26831,1,,1.162519909
50,ACCSAC2_12/27/2021_8:30,0,6.472124378,32.36062188,634.268189,0,0,71.19336815,0,200.6358557,0,0,0,155.330985,0,252.4128507,6.472124378,51.77699502,0,6.472124378,0,0,0,6.472124378,0,0,0,0,226.5243532,0,0,0,6.472124378,0,6.472124378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/27/2021,ACCSAC2,8:30,7.959,103.1,152.9,99.462,0.07,89.2,10.53,7.47,23.04,3.46,0.17,37304,37885,1,,1.103634097
